상표명,세균제위험,곰팡이제위험,계열,일반명
리스펙트,🟡,🔴,트리아졸·이미다졸(DMI),Dithianon+Metconazole
리전트프로,🟡,🔴,SDHI,Isotianil+Penflufen+Fipronil
리치원,🟡,🔴,트리아졸·이미다졸(DMI),Chlorothalonil+Tebuconazole
마가롱,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
마간엠비,🔴,🔴,토양훈증,Methyl bromide
마그나포스,🔴,🔴,토양훈증,Magnesium phosphide
마꼬잡꼬,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
마니나,🔴,🟡,항생제계(세균표적),Oxolinic acid
마루치,🟢,🔴,스트로빌루린(QoI),Kresoxim-methyl
마리올,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
마법사,🟡,🔴,항진균항생제,Difenoconazole+Polyoxin B
마스터콥,🔴,🔴,동제(구리),Copper sulfate pentahydrate
마스터키,🔴,🔴,항생제계(세균표적),Kasugamycin+Thifluzamide
마운틴,🟡,🔴,트리아졸·이미다졸(DMI),Metconazole
마이백,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Diniconazole
마이탄,🟡,🔴,SDHI,Thifluzamide
마제스타,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
마크원,🟡,🔴,디티오카바메이트,Mancozeb+Metalaxyl
만능타,🟡,🔴,벤지미다졸(MBC),Iminoctadine tris(albesilate)+Thiophanate-methyl
만데스,🟢,🔴,스트로빌루린(QoI),Mandestrobin
만수무강,🟢,🔴,스트로빌루린(QoI),Pyribencarb+Thiophanate-methyl
만시지탄,🟡,🔴,디티오카바메이트,Mancozeb
만코지,🟡,🔴,디티오카바메이트,Mancozeb
말리부,🟡,🔴,트리아졸·이미다졸(DMI),Metconazole
맘모스,🟡,🔴,트리아졸·이미다졸(DMI),Cyprodinil+Difenoconazole
매듭,🟢,🔴,스트로빌루린(QoI),Famoxadone+Mandipropamid
매직소,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole
매직탄,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
매카니,🟡,🔴,스트로빌루린(QoI),Dithianon+Pyraclostrobin
맥스티마,🟡,🔴,트리아졸·이미다졸(DMI),Mefentrifluconazole
머니업,🟡,🔴,트리아졸·이미다졸(DMI),Prochloraz-manganese
머큐리듀오,🟡,🔴,SDHI,Fluopyram+Tebuconazole
머큐리슈퍼,🟡,🔴,SDHI,Fluopyram+Trifloxystrobin
멀리건,🟡,🔴,SDHI,Thifluzamide
멀티리티,🟡,🔴,트리아졸·이미다졸(DMI),Triticonazole
멀티샷,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole
메가킹,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Tebuconazole
메가팜,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
메가폰,🔴,🟡,항생제계(세균표적),Kasugamycin
메타박스,🟡,🔴,SDHI,Dichlobentiazox+Fluxapyroxad+Fipronil
메타쏘일,🔴,🔴,토양훈증(메탐),Metam-potassium
메타포,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
메탐사이,🔴,🔴,토양훈증(메탐),Metam-sodium
메탐킹,🔴,🔴,토양훈증(메탐),Metam-sodium
멜리아,🟡,🔴,트리아졸·이미다졸(DMI),Mefentrifluconazole+Pyraclostrobin
멸균탄,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
명물,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Isoprothiolane
명품탄,🔴,🟡,항생제계(세균표적),Oxolinic acid
모도우리,🟡,🔴,벤지미다졸(MBC),Thiophanate-methyl+Triflumizole
모드니,🟢,🔴,스트로빌루린(QoI),Orysastrobin+Carbosulfan
모드니프로,🟢,🔴,스트로빌루린(QoI),Orysastrobin+Probenazole+Fipronil
모라처,🟡,🔴,트리아졸·이미다졸(DMI),Fluquinconazole+Tebuconazole
모비딕,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole
모에존,🟡,🔴,SDHI,Thifluzamide+Tiadinil+Fipronil
몬카트,🟡,🔴,SDHI,Flutolanil
무룸멘다,🔴,🟡,항생제계(세균표적),Oxolinic acid
무름반점뚝,🔴,🟡,항생제계(세균표적),Oxolinic acid
무병지,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Isoprothiolane
미라도,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
미라보,🔴,🟡,항생제계(세균표적),Oxolinic acid+Oxytetracycline dihydrate
미라지,🟢,🔴,벤지미다졸(MBC),Thiabendazole
미래빛,🟡,🔴,SDHI,Pydiflumetofen
미래빛듀오,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Pydiflumetofen
미리본,🟡,🔴,SDHI,Fluxapyroxad+Pyraclostrobin
미사일,🟡,🔴,SDHI,Iminoctadine triacetate+Penthiopyrad
미소팜,🟢,🔴,스트로빌루린(QoI),Kresoxim-methyl
미스타클린,🔴,🟡,항생제계(세균표적),Oxytetracycline dihydrate+Validamycin A
밀고,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole
밀리언,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
바로너,🟢,🔴,벤지미다졸(MBC),Thiophanate-methyl
바로센,🟡,🔴,스트로빌루린(QoI),Pyraclostrobin+Tebuconazole
바로티나,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
바리케이트,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Iprobenfos
바빌론,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
바이블,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Fluazinam
바이슨,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Tebuconazole
바이코,🟡,🔴,트리아졸·이미다졸(DMI),Bitertanol
바톤,🟡,🔴,트리아졸·이미다졸(DMI),Fenbuconazole
발본색원,🟡,🔴,벤지미다졸(MBC),Ferimzone+Thiophanate-methyl
밧사미드,🔴,🔴,토양훈증,Dazomet
방범대,🔴,🟡,항생제계(세균표적),Streptomycin+Validamycin A
방어왕,🟡,🔴,벤지미다졸(MBC),Iminoctadine triacetate+Thiophanate-methyl
방파제,🟡,🔴,트리아졸·이미다졸(DMI),Bitertanol
배너,🟡,🔴,트리아졸·이미다졸(DMI),Propiconazole
배팅,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Fludioxonil
백마탄,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Metrafenone
백작,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Thiophanate-methyl
백중탄,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
버디,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
버밍턴,🔴,🟡,항생제계(세균표적),Oxolinic acid
버전업,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
베노레이트,🟢,🔴,벤지미다졸(MBC),Benomyl
베노밀,🟢,🔴,벤지미다졸(MBC),Benomyl
베르나,🟡,🔴,SDHI,Boscalid+Pyraclostrobin
베리굿,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Picarbutrazox
벤다밀,🟢,🔴,벤지미다졸(MBC),Carbendazim+Metalaxyl
벤레이트,🟢,🔴,벤지미다졸(MBC),Benomyl
벤프로디온,🟢,🔴,벤지미다졸(MBC),Carbendazim+Iprodione
벤허,🟢,🔴,벤지미다졸(MBC),Benomyl
벨룸,🟡,🔴,SDHI,Fluopyram
벨리스에스,🟡,🔴,SDHI,Boscalid+Pyraclostrobin
벨리스플러스,🟡,🔴,SDHI,Boscalid+Pyraclostrobin
벼가드,🟡,🔴,SDHI,Dichlobentiazox+Thifluzamide+Fipronil
벼노린,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Dinotefuran
벼천왕,🟡,🔴,SDHI,Fenoxanil+Thifluzamide
벼천왕골드,🟡,🔴,SDHI,Fenoxanil+Thifluzamide
벼클린,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Fluindapyr
병모리,🟡,🔴,SDHI,Boscalid+Triflumizole
병충킬,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Tricyclazole+Fipronil
보가드,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole
보검,🟡,🔴,트리아졸·이미다졸(DMI),Propiconazole
